Transaction_ID,Date,Product,Category,Region,Channel,Customer_ID,Quantity,Unit_Price,Discount_%,Revenue,Cost,Profit
TXN_000001,2026-01-24 18:38:48.038996,USB-C Hub,Accessories,Middle East,Marketplace,CUST_0189,1,35.0,0.0,35.0,18,17.0
TXN_000002,2025-12-27 18:38:48.038996,Power Bank,Electronics,South America,Mobile App,CUST_0152,3,30.0,0.0,90.0,45,45.0
TXN_000003,2025-10-15 18:38:48.038996,Smart Watch,Wearables,Asia Pacific,Website,CUST_0192,4,200.0,0.0,800.0,480,320.0
TXN_000004,2025-12-10 18:38:48.038996,Webcam HD,Electronics,North America,Website,CUST_0475,3,60.0,0.0,180.0,105,75.0
TXN_000005,2025-10-28 18:38:48.038996,Mechanical Keyboard,Accessories,North America,Social Media,CUST_0131,1,76.0,5.0,76.0,40,36.0
TXN_000006,2025-11-03 18:38:48.038996,"Tablet 10""",Electronics,North America,Social Media,CUST_0316,2,315.0,10.0,630.0,400,230.0
TXN_000007,2025-10-22 18:38:48.038996,Phone Case,Accessories,North America,Mobile App,CUST_0367,4,15.0,0.0,60.0,20,40.0
TXN_000008,2025-10-21 18:38:48.038996,Mechanical Keyboard,Accessories,South America,Website,CUST_0360,4,80.0,0.0,320.0,160,160.0
TXN_000009,2026-02-24 18:38:48.038996,Webcam HD,Electronics,Europe,Website,CUST_0191,2,54.0,10.0,108.0,70,38.0
TXN_000010,2026-03-24 18:38:48.038996,Phone Case,Accessories,South America,Mobile App,CUST_0304,3,15.0,0.0,45.0,15,30.0
TXN_000011,2025-11-22 18:38:48.038996,"Monitor 27""",Electronics,North America,Website,CUST_0053,4,250.0,0.0,1000.0,720,280.0
TXN_000012,2026-02-14 18:38:48.038996,"Tablet 10""",Electronics,North America,Website,CUST_0345,3,350.0,0.0,1050.0,600,450.0
TXN_000013,2026-02-19 18:38:48.038996,Desk Lamp,Accessories,North America,Website,CUST_0499,1,38.0,5.0,38.0,20,18.0
TXN_000014,2026-03-25 18:38:48.038996,Laptop Pro,Electronics,Europe,Social Media,CUST_0041,4,1020.0,15.0,4080.0,3200,880.0
TXN_000015,2025-12-24 18:38:48.038996,Desk Lamp,Accessories,North America,Website,CUST_0407,2,40.0,0.0,80.0,40,40.0
TXN_000016,2026-01-20 18:38:48.038996,Desk Lamp,Accessories,Europe,Marketplace,CUST_0449,3,40.0,0.0,120.0,60,60.0
TXN_000017,2026-02-21 18:38:48.038996,Laptop Pro,Electronics,Asia Pacific,Website,CUST_0398,3,1200.0,0.0,3600.0,2400,1200.0
TXN_000018,2025-10-28 18:38:48.038996,Phone Case,Accessories,North America,Website,CUST_0063,4,14.25,5.0,57.0,20,37.0
TXN_000019,2025-12-04 18:38:48.038996,USB-C Hub,Accessories,South America,Website,CUST_0237,3,31.5,10.0,94.5,54,40.5
